Place,Ids,Magnitude,Tsunami,Time,Coordinates,Depth
"3 km WNW of Anderson Springs, CA",nc73912666,0.92,0,2023-07-14 03:07,"[-122.7235031, 38.7803345]",2
"10km NE of Sylmar, CA",ci39612410,1.08,0,2023-07-14 03:05,"[-118.3626667, 34.3676667]",0.7
"3 km E of The Geysers, CA",nc73912661,0.78,0,2023-07-14 03:03,"[-122.7245026, 38.7729988]",1.8
"3 km E of The Geysers, CA",nc73912656,1.15,0,2023-07-14 03:01,"[-122.7253342, 38.7799988]",1.8
"7 km WNW of Parkfield, CA",nc73912646,0.76,0,2023-07-14 03:00,"[-120.4988327, 35.928833]",2.3
"47 km SSE of Nelchina, Alaska",ak0238yjbmkh,2.7,0,2023-07-14 02:56,"[-146.3281, 61.6183]",36.8
"2 km E of The Geysers, CA",nc73912636,1.15,0,2023-07-14 02:56,"[-122.7286682, 38.779335]",0.8
"3 km SE of The Geysers, CA",nc73912631,1.35,0,2023-07-14 02:53,"[-122.7294998, 38.7613335]",-0.9
"3 km W of Anderson Springs, CA",nc73912626,0.72,0,2023-07-14 02:53,"[-122.7223358, 38.7784996]",2.0
"3 km WNW of Anderson Springs, CA",nc73912621,1.27,0,2023-07-14 02:52,"[-122.7228317, 38.7808342]",2.1
"2 km E of The Geysers, CA",nc73912606,0.95,0,2023-07-14 02:51,"[-122.7279968, 38.7773323]",1.0
"2 km SE of The Geysers, CA",nc73912601,1.19,0,2023-07-14 02:51,"[-122.7369995, 38.7605019]",-0.8
"3 km E of The Geysers, CA",nc73912586,1.09,0,2023-07-14 02:50,"[-122.7249985, 38.7791672]",1.6
"2 km WNW of Anderson Springs, CA",nc73912571,1.1,0,2023-07-14 02:49,"[-122.7151642, 38.7866669]",1.0
"2 km W of Anderson Springs, CA",nc73912581,1.74,0,2023-07-14 02:48,"[-122.7145004, 38.7771683]",2.5
"3 km WSW of Anderson Springs, CA",nc73912566,0.3,0,2023-07-14 02:48,"[-122.722168, 38.7688332]",-0.8
"3 km ENE of The Geysers, CA",nc73912551,0.94,0,2023-07-14 02:47,"[-122.7259979, 38.784832]",-0.6
"3 km WNW of Anderson Springs, CA",nc73912556,1.49,0,2023-07-14 02:47,"[-122.7233353, 38.7811661]",1.2
"3 km ESE of The Geysers, CA",nc73912541,1.47,0,2023-07-14 02:47,"[-122.725502, 38.7618332]",2.0
"3 km E of The Geysers, CA",nc73912536,1.27,0,2023-07-14 02:46,"[-122.7256699, 38.7783318]",1.8
"3 km E of The Geysers, CA",nc73912546,3.35,0,2023-07-14 02:45,"[-122.7265015, 38.7734985]",1.0
South Sandwich Islands region,us7000kfm6,5,0,2023-07-14 02:44,"[-25.8138, -59.4524]",35
"4 km SW of Pāhala, Hawaii",hv73480952,2.02,0,2023-07-14 02:42,"[-155.503997802734, 19.1674995422363]",34.8
"88 km NW of Karluk, Alaska",ak0238yj8dei,0.6,0,2023-07-14 02:41,"[-155.4104, 58.1762]",0.5
"11 km S of Central, Alaska",ak0238yj7y1y,1.4,0,2023-07-14 02:39,"[-144.7579, 65.475]",0
"20 km NW of Beluga, Alaska",ak0238yj5lef,2.3,0,2023-07-14 02:28,"[-151.3647, 61.2627]",69
"10km NNE of Ocotillo Wells, CA",ci39612386,1.64,0,2023-07-14 02:15,"[-116.0851667, 33.2248333]",8.7
"83 km NNW of Karluk, Alaska",ak0238yj2m8r,0.2,0,2023-07-14 02:14,"[-154.9455, 58.2716]",1.8
